País de residencia;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Total;Tasa de variación acumulada;Gasto medio por persona;2017M05;3,01
Total;Tasa de variación acumulada;Gasto medio por persona;2017M04;3,48
Total;Tasa de variación acumulada;Gasto medio por persona;2017M03;3,64
Total;Tasa de variación acumulada;Gasto medio por persona;2017M02;3,35
Total;Tasa de variación acumulada;Gasto medio por persona;2017M01;2,99
Total;Tasa de variación acumulada;Gasto medio por persona;2016M12;-1,14
Total;Tasa de variación acumulada;Gasto medio por persona;2016M11;-1,53
Total;Tasa de variación acumulada;Gasto medio por persona;2016M10;-1,59
Total;Tasa de variación acumulada;Gasto medio por persona;2016M09;-2,34
Total;Tasa de variación acumulada;Gasto medio por persona;2016M08;-2,81
Total;Tasa de variación acumulada;Gasto medio por persona;2016M07;-2,98
Total;Tasa de variación acumulada;Gasto medio por persona;2016M06;-3,25
Total;Tasa de variación acumulada;Gasto medio por persona;2016M05;-4,21
Total;Tasa de variación acumulada;Gasto medio por persona;2016M04;-5,97
Total;Tasa de variación acumulada;Gasto medio por persona;2016M03;-5,72
Total;Tasa de variación acumulada;Gasto medio por persona;2016M02;-5,99
Total;Tasa de variación acumulada;Gasto medio por persona;2016M01;-6,68
Total;Tasa de variación acumulada;Gasto medio por persona;2015M12;""
Total;Tasa de variación acumulada;Gasto medio por persona;2015M11;""
Total;Tasa de variación acumulada;Gasto medio por persona;2015M10;-0,60
Total;Tasa de variación acumulada;Gasto medio diario por persona;2026M07;3,09
Total;Tasa de variación acumulada;Gasto medio diario por persona;2026M06;2,86
Total;Tasa de variación acumulada;Gasto medio diario por persona;2026M05;3,47
Total;Tasa de variación acumulada;Gasto medio diario por persona;2026M04;3,89
Total;Tasa de variación acumulada;Gasto medio diario por persona;2026M03;5,05
Total;Tasa de variación acumulada;Gasto medio diario por persona;2026M02;5,20
Total;Tasa de variación acumulada;Gasto medio diario por persona;2026M01;7,08
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M12;4,89
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M11;4,85
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M10;4,77
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M09;4,68
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M08;4,73
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M07;4,61
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M06;3,93
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M05;3,32
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M04;3,80
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M03;4,90
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M02;5,07
Total;Tasa de variación acumulada;Gasto medio diario por persona;2025M01;4,44
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M12;5,19
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M11;4,96
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M10;5,14
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M09;5,38
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M08;5,62
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M07;4,82
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M06;5,56
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M05;6,55
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M04;5,85
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M03;5,91
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M02;5,98
Total;Tasa de variación acumulada;Gasto medio diario por persona;2024M01;6,14
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M12;9,15
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M11;9,79
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M10;10,17
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M09;10,12
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M08;10,14
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M07;11,07
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M06;10,74
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M05;11,14
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M04;13,27
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M03;14,44
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M02;19,31
Total;Tasa de variación acumulada;Gasto medio diario por persona;2023M01;19,97
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M12;17,95
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M11;17,58
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M10;17,80
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M09;17,70
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M08;16,77
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M07;15,03
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M06;16,44
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M05;19,13
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M04;19,44
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M03;19,38
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M02;18,16
Total;Tasa de variación acumulada;Gasto medio diario por persona;2022M01;17,12
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M12;2,78
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M11;3,00
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M10;2,45
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M09;0,85
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M08;-0,70
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M07;-2,63
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M06;-8,43
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M05;-13,47
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M04;-18,15
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M03;-20,86
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M02;-25,28
Total;Tasa de variación acumulada;Gasto medio diario por persona;2021M01;-26,86
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M12;-13,59
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M11;-13,08
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M10;-12,68
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M09;-11,12
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M08;-9,80
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M07;-7,87
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M06;-4,04
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M05;-2,02
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M04;0,48
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M03;2,21
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M02;3,58
Total;Tasa de variación acumulada;Gasto medio diario por persona;2020M01;4,45
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M12;6,32
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M11;6,14
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M10;6,20
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M09;6,14
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M08;6,47
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M07;6,73
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M06;7,19
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M05;6,86
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M04;6,01
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M03;5,58
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M02;5,10
Total;Tasa de variación acumulada;Gasto medio diario por persona;2019M01;5,29
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M12;6,00
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M11;5,91
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M10;5,60
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M09;5,65
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M08;6,11
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M07;5,03
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M06;3,78
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M05;3,23
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M04;3,31
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M03;3,14
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M02;4,39
Total;Tasa de variación acumulada;Gasto medio diario por persona;2018M01;1,95
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M12;5,24
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M11;5,39
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M10;5,71
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M09;5,78
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M08;5,76
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M07;5,16
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M06;4,77
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M05;4,71
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M04;5,67
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M03;5,16
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M02;4,11
Total;Tasa de variación acumulada;Gasto medio diario por persona;2017M01;5,97
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M12;4,08
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M11;3,95
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M10;3,81
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M09;2,79
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M08;2,72
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M07;3,30
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M06;2,48
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M05;2,65
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M04;1,92
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M03;1,91
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M02;2,81
Total;Tasa de variación acumulada;Gasto medio diario por persona;2016M01;0,95
Total;Tasa de variación acumulada;Gasto medio diario por persona;2015M12;""
Total;Tasa de variación acumulada;Gasto medio diario por persona;2015M11;""
Total;Tasa de variación acumulada;Gasto medio diario por persona;2015M10;1,08
Total;Tasa de variación acumulada;Duración media de los viajes;2026M07;-0,02
Total;Tasa de variación acumulada;Duración media de los viajes;2026M06;-0,57
Total;Tasa de variación acumulada;Duración media de los viajes;2026M05;-0,84
Total;Tasa de variación acumulada;Duración media de los viajes;2026M04;-0,71
Total;Tasa de variación acumulada;Duración media de los viajes;2026M03;-1,25
Total;Tasa de variación acumulada;Duración media de los viajes;2026M02;-0,41
Total;Tasa de variación acumulada;Duración media de los viajes;2026M01;0,84
Total;Tasa de variación acumulada;Duración media de los viajes;2025M12;-1,37
Total;Tasa de variación acumulada;Duración media de los viajes;2025M11;-1,40
Total;Tasa de variación acumulada;Duración media de los viajes;2025M10;-1,31
Total;Tasa de variación acumulada;Duración media de los viajes;2025M09;-1,32
Total;Tasa de variación acumulada;Duración media de los viajes;2025M08;-1,60
Total;Tasa de variación acumulada;Duración media de los viajes;2025M07;-1,58
Total;Tasa de variación acumulada;Duración media de los viajes;2025M06;-1,21
Total;Tasa de variación acumulada;Duración media de los viajes;2025M05;-0,88
Total;Tasa de variación acumulada;Duración media de los viajes;2025M04;-1,71
Total;Tasa de variación acumulada;Duración media de los viajes;2025M03;-3,32
Total;Tasa de variación acumulada;Duración media de los viajes;2025M02;-3,61
Total;Tasa de variación acumulada;Duración media de los viajes;2025M01;-1,53
Total;Tasa de variación acumulada;Duración media de los viajes;2024M12;0,13
Total;Tasa de variación acumulada;Duración media de los viajes;2024M11;0,35
Total;Tasa de variación acumulada;Duración media de los viajes;2024M10;0,20
Total;Tasa de variación acumulada;Duración media de los viajes;2024M09;-0,05
Total;Tasa de variación acumulada;Duración media de los viajes;2024M08;0,02
Total;Tasa de variación acumulada;Duración media de los viajes;2024M07;0,90
Total;Tasa de variación acumulada;Duración media de los viajes;2024M06;0,75
Total;Tasa de variación acumulada;Duración media de los viajes;2024M05;0,47
Total;Tasa de variación acumulada;Duración media de los viajes;2024M04;1,02
Total;Tasa de variación acumulada;Duración media de los viajes;2024M03;1,90
Total;Tasa de variación acumulada;Duración media de los viajes;2024M02;2,39
Total;Tasa de variación acumulada;Duración media de los viajes;2024M01;2,37
Total;Tasa de variación acumulada;Duración media de los viajes;2023M12;-3,76
Total;Tasa de variación acumulada;Duración media de los viajes;2023M11;-4,48
Total;Tasa de variación acumulada;Duración media de los viajes;2023M10;-4,76
Total;Tasa de variación acumulada;Duración media de los viajes;2023M09;-5,14
Total;Tasa de variación acumulada;Duración media de los viajes;2023M08;-5,66
Total;Tasa de variación acumulada;Duración media de los viajes;2023M07;-6,58
Total;Tasa de variación acumulada;Duración media de los viajes;2023M06;-6,34
Total;Tasa de variación acumulada;Duración media de los viajes;2023M05;-7,22
Total;Tasa de variación acumulada;Duración media de los viajes;2023M04;-8,74
Total;Tasa de variación acumulada;Duración media de los viajes;2023M03;-10,09
Total;Tasa de variación acumulada;Duración media de los viajes;2023M02;-12,57
Total;Tasa de variación acumulada;Duración media de los viajes;2023M01;-13,46
Total;Tasa de variación acumulada;Duración media de los viajes;2022M12;-7,90
Total;Tasa de variación acumulada;Duración media de los viajes;2022M11;-7,16
Total;Tasa de variación acumulada;Duración media de los viajes;2022M10;-7,40
Total;Tasa de variación acumulada;Duración media de los viajes;2022M09;-7,26
Total;Tasa de variación acumulada;Duración media de los viajes;2022M08;-7,11
Total;Tasa de variación acumulada;Duración media de los viajes;2022M07;-6,23
Total;Tasa de variación acumulada;Duración media de los viajes;2022M06;-5,14
Total;Tasa de variación acumulada;Duración media de los viajes;2022M05;-6,54
Total;Tasa de variación acumulada;Duración media de los viajes;2022M04;-8,01
Total;Tasa de variación acumulada;Duración media de los viajes;2022M03;-6,08
Total;Tasa de variación acumulada;Duración media de los viajes;2022M02;-6,06
Total;Tasa de variación acumulada;Duración media de los viajes;2022M01;-0,66
Total;Tasa de variación acumulada;Duración media de los viajes;2021M12;4,21
Total;Tasa de variación acumulada;Duración media de los viajes;2021M11;3,31
Total;Tasa de variación acumulada;Duración media de los viajes;2021M10;3,79
Total;Tasa de variación acumulada;Duración media de los viajes;2021M09;4,77
Total;Tasa de variación acumulada;Duración media de los viajes;2021M08;6,12
Total;Tasa de variación acumulada;Duración media de los viajes;2021M07;6,61
Total;Tasa de variación acumulada;Duración media de los viajes;2021M06;6,14
Total;Tasa de variación acumulada;Duración media de los viajes;2021M05;9,94
Total;Tasa de variación acumulada;Duración media de los viajes;2021M04;18,90
Total;Tasa de variación acumulada;Duración media de los viajes;2021M03;24,09
Total;Tasa de variación acumulada;Duración media de los viajes;2021M02;29,56
Total;Tasa de variación acumulada;Duración media de los viajes;2021M01;23,80
Total;Tasa de variación acumulada;Duración media de los viajes;2020M12;9,88
Total;Tasa de variación acumulada;Duración media de los viajes;2020M11;9,48
Total;Tasa de variación acumulada;Duración media de los viajes;2020M10;8,89
Total;Tasa de variación acumulada;Duración media de los viajes;2020M09;8,19
Total;Tasa de variación acumulada;Duración media de los viajes;2020M08;7,99
Total;Tasa de variación acumulada;Duración media de los viajes;2020M07;8,09
Total;Tasa de variación acumulada;Duración media de los viajes;2020M06;8,81
Total;Tasa de variación acumulada;Duración media de los viajes;2020M05;8,66
Total;Tasa de variación acumulada;Duración media de los viajes;2020M04;5,37
Total;Tasa de variación acumulada;Duración media de los viajes;2020M03;0,60
Total;Tasa de variación acumulada;Duración media de los viajes;2020M02;-1,01
Total;Tasa de variación acumulada;Duración media de los viajes;2020M01;-0,97
Total;Tasa de variación acumulada;Duración media de los viajes;2019M12;-4,49
Total;Tasa de variación acumulada;Duración media de los viajes;2019M11;-4,29
Total;Tasa de variación acumulada;Duración media de los viajes;2019M10;-4,31
Total;Tasa de variación acumulada;Duración media de los viajes;2019M09;-4,38
Total;Tasa de variación acumulada;Duración media de los viajes;2019M08;-4,72
Total;Tasa de variación acumulada;Duración media de los viajes;2019M07;-5,20
Total;Tasa de variación acumulada;Duración media de los viajes;2019M06;-6,04
Total;Tasa de variación acumulada;Duración media de los viajes;2019M05;-5,58
Total;Tasa de variación acumulada;Duración media de los viajes;2019M04;-5,22
Total;Tasa de variación acumulada;Duración media de los viajes;2019M03;-5,05
Total;Tasa de variación acumulada;Duración media de los viajes;2019M02;-4,82
Total;Tasa de variación acumulada;Duración media de los viajes;2019M01;-3,87
Total;Tasa de variación acumulada;Duración media de los viajes;2018M12;-3,78
Total;Tasa de variación acumulada;Duración media de los viajes;2018M11;-3,69
Total;Tasa de variación acumulada;Duración media de los viajes;2018M10;-3,40
Total;Tasa de variación acumulada;Duración media de los viajes;2018M09;-3,19
Total;Tasa de variación acumulada;Duración media de los viajes;2018M08;-3,29
Total;Tasa de variación acumulada;Duración media de los viajes;2018M07;-2,41
Total;Tasa de variación acumulada;Duración media de los viajes;2018M06;-1,47
Total;Tasa de variación acumulada;Duración media de los viajes;2018M05;-1,09
Total;Tasa de variación acumulada;Duración media de los viajes;2018M04;-1,08
Total;Tasa de variación acumulada;Duración media de los viajes;2018M03;-1,13
Total;Tasa de variación acumulada;Duración media de los viajes;2018M02;-2,34
Total;Tasa de variación acumulada;Duración media de los viajes;2018M01;-0,99
Total;Tasa de variación acumulada;Duración media de los viajes;2017M12;-1,76
Total;Tasa de variación acumulada;Duración media de los viajes;2017M11;-1,68
Total;Tasa de variación acumulada;Duración media de los viajes;2017M10;-1,95
Total;Tasa de variación acumulada;Duración media de los viajes;2017M09;-2,07
Total;Tasa de variación acumulada;Duración media de los viajes;2017M08;-1,64
Total;Tasa de variación acumulada;Duración media de los viajes;2017M07;-1,56
Total;Tasa de variación acumulada;Duración media de los viajes;2017M06;-1,69
Total;Tasa de variación acumulada;Duración media de los viajes;2017M05;-1,63
Total;Tasa de variación acumulada;Duración media de los viajes;2017M04;-2,08
Total;Tasa de variación acumulada;Duración media de los viajes;2017M03;-1,44
Total;Tasa de variación acumulada;Duración media de los viajes;2017M02;-0,74
Total;Tasa de variación acumulada;Duración media de los viajes;2017M01;-2,81
Total;Tasa de variación acumulada;Duración media de los viajes;2016M12;-5,01
Total;Tasa de variación acumulada;Duración media de los viajes;2016M11;-5,27
Total;Tasa de variación acumulada;Duración media de los viajes;2016M10;-5,20
Total;Tasa de variación acumulada;Duración media de los viajes;2016M09;-4,99
Total;Tasa de variación acumulada;Duración media de los viajes;2016M08;-5,38
Total;Tasa de variación acumulada;Duración media de los viajes;2016M07;-6,08
Total;Tasa de variación acumulada;Duración media de los viajes;2016M06;-5,60
Total;Tasa de variación acumulada;Duración media de los viajes;2016M05;-6,69
Total;Tasa de variación acumulada;Duración media de los viajes;2016M04;-7,74
Total;Tasa de variación acumulada;Duración media de los viajes;2016M03;-7,48
Total;Tasa de variación acumulada;Duración media de los viajes;2016M02;-8,56
Total;Tasa de variación acumulada;Duración media de los viajes;2016M01;-7,56
Total;Tasa de variación acumulada;Duración media de los viajes;2015M12;""
Total;Tasa de variación acumulada;Duración media de los viajes;2015M11;""
Total;Tasa de variación acumulada;Duración media de los viajes;2015M10;-1,66
Reino Unido;Dato base;Gasto total;2026M07;3.038,17
Reino Unido;Dato base;Gasto total;2026M06;2.802,70
Reino Unido;Dato base;Gasto total;2026M05;2.502,58
Reino Unido;Dato base;Gasto total;2026M04;1.857,16
Reino Unido;Dato base;Gasto total;2026M03;1.434,62
Reino Unido;Dato base;Gasto total;2026M02;1.164,93
Reino Unido;Dato base;Gasto total;2026M01;1.085,08
Reino Unido;Dato base;Gasto total;2025M12;1.077,02
Reino Unido;Dato base;Gasto total;2025M11;1.301,90
Reino Unido;Dato base;Gasto total;2025M10;2.203,00
Reino Unido;Dato base;Gasto total;2025M09;2.557,33
Reino Unido;Dato base;Gasto total;2025M08;3.129,65
Reino Unido;Dato base;Gasto total;2025M07;2.899,71
Reino Unido;Dato base;Gasto total;2025M06;2.616,92
Reino Unido;Dato base;Gasto total;2025M05;2.357,02
Reino Unido;Dato base;Gasto total;2025M04;1.773,77
Reino Unido;Dato base;Gasto total;2025M03;1.435,16
Reino Unido;Dato base;Gasto total;2025M02;1.210,40
Reino Unido;Dato base;Gasto total;2025M01;1.104,28
Reino Unido;Dato base;Gasto total;2024M12;1.096,36
Reino Unido;Dato base;Gasto total;2024M11;1.156,75
Reino Unido;Dato base;Gasto total;2024M10;2.124,25
Reino Unido;Dato base;Gasto total;2024M09;2.451,03
Reino Unido;Dato base;Gasto total;2024M08;3.025,96
Reino Unido;Dato base;Gasto total;2024M07;2.846,60
Reino Unido;Dato base;Gasto total;2024M06;2.481,75
Reino Unido;Dato base;Gasto total;2024M05;2.193,70
Reino Unido;Dato base;Gasto total;2024M04;1.585,78
Reino Unido;Dato base;Gasto total;2024M03;1.358,90
Reino Unido;Dato base;Gasto total;2024M02;1.160,75
Reino Unido;Dato base;Gasto total;2024M01;1.069,83
Reino Unido;Dato base;Gasto total;2023M12;1.091,47
Reino Unido;Dato base;Gasto total;2023M11;1.067,86
Reino Unido;Dato base;Gasto total;2023M10;1.927,88
Reino Unido;Dato base;Gasto total;2023M09;2.246,00
Reino Unido;Dato base;Gasto total;2023M08;2.713,63
Reino Unido;Dato base;Gasto total;2023M07;2.582,58
Reino Unido;Dato base;Gasto total;2023M06;2.182,21
Reino Unido;Dato base;Gasto total;2023M05;1.891,20
Reino Unido;Dato base;Gasto total;2023M04;1.346,35
Reino Unido;Dato base;Gasto total;2023M03;1.158,88
Reino Unido;Dato base;Gasto total;2023M02;851,81
Reino Unido;Dato base;Gasto total;2023M01;845,83
Reino Unido;Dato base;Gasto total;2022M12;844,10
Reino Unido;Dato base;Gasto total;2022M11;901,82
Reino Unido;Dato base;Gasto total;2022M10;1.637,38
Reino Unido;Dato base;Gasto total;2022M09;1.947,59
Reino Unido;Dato base;Gasto total;2022M08;2.317,96
Reino Unido;Dato base;Gasto total;2022M07;2.385,73
Reino Unido;Dato base;Gasto total;2022M06;1.951,10
Reino Unido;Dato base;Gasto total;2022M05;1.741,96
Reino Unido;Dato base;Gasto total;2022M04;1.294,67
Reino Unido;Dato base;Gasto total;2022M03;1.013,97
Reino Unido;Dato base;Gasto total;2022M02;672,47
Reino Unido;Dato base;Gasto total;2022M01;446,27
Reino Unido;Dato base;Gasto total;2021M12;478,57
Reino Unido;Dato base;Gasto total;2021M11;638,33
Reino Unido;Dato base;Gasto total;2021M10;998,69
Reino Unido;Dato base;Gasto total;2021M09;828,87
Reino Unido;Dato base;Gasto total;2021M08;858,42
Reino Unido;Dato base;Gasto total;2021M07;663,14
Reino Unido;Dato base;Gasto total;2021M06;151,43
Reino Unido;Dato base;Gasto total;2021M05;58,66
Reino Unido;Dato base;Gasto total;2021M04;26,20
Reino Unido;Dato base;Gasto total;2021M03;27,57
Reino Unido;Dato base;Gasto total;2021M02;16,68
Reino Unido;Dato base;Gasto total;2021M01;27,11
Reino Unido;Dato base;Gasto total;2020M12;125,18
Reino Unido;Dato base;Gasto total;2020M11;95,38
Reino Unido;Dato base;Gasto total;2020M10;155,40
Reino Unido;Dato base;Gasto total;2020M09;150,71
Reino Unido;Dato base;Gasto total;2020M08;277,81
Reino Unido;Dato base;Gasto total;2020M07;375,49
Reino Unido;Dato base;Gasto total;2020M06;4,43
Reino Unido;Dato base;Gasto total;2020M05;0,00
Reino Unido;Dato base;Gasto total;2020M04;0,00
Reino Unido;Dato base;Gasto total;2020M03;374,41
Reino Unido;Dato base;Gasto total;2020M02;839,86
Reino Unido;Dato base;Gasto total;2020M01;724,93
Reino Unido;Dato base;Gasto total;2019M12;772,53
Reino Unido;Dato base;Gasto total;2019M11;816,96
Reino Unido;Dato base;Gasto total;2019M10;1.579,67
Reino Unido;Dato base;Gasto total;2019M09;2.020,15
Reino Unido;Dato base;Gasto total;2019M08;2.510,04
Reino Unido;Dato base;Gasto total;2019M07;2.446,99
Reino Unido;Dato base;Gasto total;2019M06;1.957,20
Reino Unido;Dato base;Gasto total;2019M05;1.795,50
Reino Unido;Dato base;Gasto total;2019M04;1.281,45
Reino Unido;Dato base;Gasto total;2019M03;1.034,01
Reino Unido;Dato base;Gasto total;2019M02;814,40
Reino Unido;Dato base;Gasto total;2019M01;805,25
Reino Unido;Dato base;Gasto total;2018M12;832,94
Reino Unido;Dato base;Gasto total;2018M11;896,11
Reino Unido;Dato base;Gasto total;2018M10;1.616,20
Reino Unido;Dato base;Gasto total;2018M09;2.025,66
Reino Unido;Dato base;Gasto total;2018M08;2.517,63
Reino Unido;Dato base;Gasto total;2018M07;2.387,59
Reino Unido;Dato base;Gasto total;2018M06;2.031,87
Reino Unido;Dato base;Gasto total;2018M05;1.801,01
Reino Unido;Dato base;Gasto total;2018M04;1.205,34
Reino Unido;Dato base;Gasto total;2018M03;1.087,38
Reino Unido;Dato base;Gasto total;2018M02;790,66
Reino Unido;Dato base;Gasto total;2018M01;752,34
Reino Unido;Dato base;Gasto total;2017M12;817,45
Reino Unido;Dato base;Gasto total;2017M11;832,30
Reino Unido;Dato base;Gasto total;2017M10;1.506,04
Reino Unido;Dato base;Gasto total;2017M09;1.965,15
Reino Unido;Dato base;Gasto total;2017M08;2.414,13
Reino Unido;Dato base;Gasto total;2017M07;2.349,26
Reino Unido;Dato base;Gasto total;2017M06;1.931,50
Reino Unido;Dato base;Gasto total;2017M05;1.822,89
Reino Unido;Dato base;Gasto total;2017M04;1.235,82
Reino Unido;Dato base;Gasto total;2017M03;1.045,73
Reino Unido;Dato base;Gasto total;2017M02;802,80
Reino Unido;Dato base;Gasto total;2017M01;766,32
Reino Unido;Dato base;Gasto total;2016M12;915,22
Reino Unido;Dato base;Gasto total;2016M11;780,66
Reino Unido;Dato base;Gasto total;2016M10;1.469,62
Reino Unido;Dato base;Gasto total;2016M09;1.828,17
Reino Unido;Dato base;Gasto total;2016M08;2.274,45
Reino Unido;Dato base;Gasto total;2016M07;2.197,01
Reino Unido;Dato base;Gasto total;2016M06;1.766,61
Reino Unido;Dato base;Gasto total;2016M05;1.495,25
Reino Unido;Dato base;Gasto total;2016M04;1.153,23
Reino Unido;Dato base;Gasto total;2016M03;924,02
Reino Unido;Dato base;Gasto total;2016M02;690,25
Reino Unido;Dato base;Gasto total;2016M01;608,99
Reino Unido;Dato base;Gasto total;2015M12;731,74
Reino Unido;Dato base;Gasto total;2015M11;659,06
Reino Unido;Dato base;Gasto total;2015M10;1.336,41
Reino Unido;Dato base;Gasto medio por persona;2026M07;1.389
Reino Unido;Dato base;Gasto medio por persona;2026M06;1.224
Reino Unido;Dato base;Gasto medio por persona;2026M05;1.147
Reino Unido;Dato base;Gasto medio por persona;2026M04;1.115
Reino Unido;Dato base;Gasto medio por persona;2026M03;1.132
Reino Unido;Dato base;Gasto medio por persona;2026M02;1.139
Reino Unido;Dato base;Gasto medio por persona;2026M01;1.210
Reino Unido;Dato base;Gasto medio por persona;2025M12;1.199
Reino Unido;Dato base;Gasto medio por persona;2025M11;1.244
Reino Unido;Dato base;Gasto medio por persona;2025M10;1.197
Reino Unido;Dato base;Gasto medio por persona;2025M09;1.226
Reino Unido;Dato base;Gasto medio por persona;2025M08;1.419
