Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Total;Gasto total;Dato base;2026M07;18.217,95
Total;Gasto total;Dato base;2026M06;13.579,04
Total;Gasto total;Dato base;2026M05;13.553,47
Total;Gasto total;Dato base;2026M04;11.685,64
Total;Gasto total;Dato base;2026M03;9.606,40
Total;Gasto total;Dato base;2026M02;7.606,44
Total;Gasto total;Dato base;2026M01;7.804,61
Total;Gasto total;Dato base;2025M12;7.993,41
Total;Gasto total;Dato base;2025M11;8.087,84
Total;Gasto total;Dato base;2025M10;12.803,00
Total;Gasto total;Dato base;2025M09;13.404,59
Total;Gasto total;Dato base;2025M08;16.341,58
Total;Gasto total;Dato base;2025M07;16.432,61
Total;Gasto total;Dato base;2025M06;13.050,58
Total;Gasto total;Dato base;2025M05;12.226,41
Total;Gasto total;Dato base;2025M04;10.875,75
Total;Gasto total;Dato base;2025M03;9.112,01
Total;Gasto total;Dato base;2025M02;7.272,63
Total;Gasto total;Dato base;2025M01;7.142,91
Total;Gasto total;Dato base;2024M12;7.590,34
Total;Gasto total;Dato base;2024M11;7.707,67
Total;Gasto total;Dato base;2024M10;11.898,70
Total;Gasto total;Dato base;2024M09;12.613,05
Total;Gasto total;Dato base;2024M08;15.364,42
Total;Gasto total;Dato base;2024M07;15.513,29
Total;Gasto total;Dato base;2024M06;12.356,78
Total;Gasto total;Dato base;2024M05;11.686,91
Total;Gasto total;Dato base;2024M04;9.488,10
Total;Gasto total;Dato base;2024M03;8.631,35
Total;Gasto total;Dato base;2024M02;6.746,32
Total;Gasto total;Dato base;2024M01;6.546,30
Total;Gasto total;Dato base;2023M12;7.090,50
Total;Gasto total;Dato base;2023M11;6.644,47
Total;Gasto total;Dato base;2023M10;10.302,07
Total;Gasto total;Dato base;2023M09;11.193,59
Total;Gasto total;Dato base;2023M08;13.599,39
Total;Gasto total;Dato base;2023M07;13.880,83
Total;Gasto total;Dato base;2023M06;10.607,99
Total;Gasto total;Dato base;2023M05;9.766,97
Total;Gasto total;Dato base;2023M04;8.454,47
Total;Gasto total;Dato base;2023M03;6.668,07
Total;Gasto total;Dato base;2023M02;5.364,13
Total;Gasto total;Dato base;2023M01;5.216,94
Total;Gasto total;Dato base;2022M12;5.238,80
Total;Gasto total;Dato base;2022M11;5.381,97
Total;Gasto total;Dato base;2022M10;8.311,20
Total;Gasto total;Dato base;2022M09;9.147,69
Total;Gasto total;Dato base;2022M08;11.281,82
Total;Gasto total;Dato base;2022M07;11.902,10
Total;Gasto total;Dato base;2022M06;9.025,67
Total;Gasto total;Dato base;2022M05;8.046,91
Total;Gasto total;Dato base;2022M04;6.910,11
Total;Gasto total;Dato base;2022M03;5.077,45
Total;Gasto total;Dato base;2022M02;3.774,69
Total;Gasto total;Dato base;2022M01;3.039,78
Total;Gasto total;Dato base;2021M12;3.536,59
Total;Gasto total;Dato base;2021M11;3.761,50
Total;Gasto total;Dato base;2021M10;5.606,29
Total;Gasto total;Dato base;2021M09;5.051,20
Total;Gasto total;Dato base;2021M08;5.907,30
Total;Gasto total;Dato base;2021M07;5.229,47
Total;Gasto total;Dato base;2021M06;2.421,69
Total;Gasto total;Dato base;2021M05;1.395,78
Total;Gasto total;Dato base;2021M04;668,42
Total;Gasto total;Dato base;2021M03;543,89
Total;Gasto total;Dato base;2021M02;323,82
Total;Gasto total;Dato base;2021M01;457,43
Total;Gasto total;Dato base;2020M12;696,81
Total;Gasto total;Dato base;2020M11;481,98
Total;Gasto total;Dato base;2020M10;864,49
Total;Gasto total;Dato base;2020M09;964,49
Total;Gasto total;Dato base;2020M08;2.456,85
Total;Gasto total;Dato base;2020M07;2.457,94
Total;Gasto total;Dato base;2020M06;133,89
Total;Gasto total;Dato base;2020M05;0,00
Total;Gasto total;Dato base;2020M04;0,00
Total;Gasto total;Dato base;2020M03;2.173,73
Total;Gasto total;Dato base;2020M02;4.789,29
Total;Gasto total;Dato base;2020M01;4.767,31
Total;Gasto total;Dato base;2019M12;5.010,84
Total;Gasto total;Dato base;2019M11;5.062,63
Total;Gasto total;Dato base;2019M10;8.322,55
Total;Gasto total;Dato base;2019M09;9.617,21
Total;Gasto total;Dato base;2019M08;11.704,76
Total;Gasto total;Dato base;2019M07;11.941,51
Total;Gasto total;Dato base;2019M06;9.686,12
Total;Gasto total;Dato base;2019M05;8.137,84
Total;Gasto total;Dato base;2019M04;7.056,36
Total;Gasto total;Dato base;2019M03;6.034,87
Total;Gasto total;Dato base;2019M02;4.658,61
Total;Gasto total;Dato base;2019M01;4.678,67
Total;Gasto total;Dato base;2018M12;5.009,52
Total;Gasto total;Dato base;2018M11;4.888,55
Total;Gasto total;Dato base;2018M10;8.164,58
Total;Gasto total;Dato base;2018M09;9.545,81
Total;Gasto total;Dato base;2018M08;11.459,69
Total;Gasto total;Dato base;2018M07;11.748,10
Total;Gasto total;Dato base;2018M06;9.370,81
Total;Gasto total;Dato base;2018M05;8.155,06
Total;Gasto total;Dato base;2018M04;6.621,53
Total;Gasto total;Dato base;2018M03;5.726,73
Total;Gasto total;Dato base;2018M02;4.535,94
Total;Gasto total;Dato base;2018M01;4.524,43
Total;Gasto total;Dato base;2017M12;4.530,66
Total;Gasto total;Dato base;2017M11;4.642,35
Total;Gasto total;Dato base;2017M10;7.789,23
Total;Gasto total;Dato base;2017M09;9.476,29
Total;Gasto total;Dato base;2017M08;11.340,29
Total;Gasto total;Dato base;2017M07;11.850,99
Total;Gasto total;Dato base;2017M06;8.987,77
Total;Gasto total;Dato base;2017M05;7.927,07
Total;Gasto total;Dato base;2017M04;6.782,08
Total;Gasto total;Dato base;2017M03;5.109,49
Total;Gasto total;Dato base;2017M02;4.304,73
Total;Gasto total;Dato base;2017M01;4.262,99
Total;Gasto total;Dato base;2016M12;4.525,45
Total;Gasto total;Dato base;2016M11;4.205,06
Total;Gasto total;Dato base;2016M10;7.333,85
Total;Gasto total;Dato base;2016M09;8.399,31
Total;Gasto total;Dato base;2016M08;10.281,98
Total;Gasto total;Dato base;2016M07;10.238,54
Total;Gasto total;Dato base;2016M06;7.817,41
Total;Gasto total;Dato base;2016M05;6.917,93
Total;Gasto total;Dato base;2016M04;5.627,99
Total;Gasto total;Dato base;2016M03;4.624,47
Total;Gasto total;Dato base;2016M02;3.706,27
Total;Gasto total;Dato base;2016M01;3.737,26
Total;Gasto total;Dato base;2015M12;3.773,27
Total;Gasto total;Dato base;2015M11;3.872,84
Total;Gasto total;Dato base;2015M10;6.280,63
Total;Gasto total;Tasa de variación anual;2026M07;10,86
Total;Gasto total;Tasa de variación anual;2026M06;4,05
Total;Gasto total;Tasa de variación anual;2026M05;10,85
Total;Gasto total;Tasa de variación anual;2026M04;7,45
Total;Gasto total;Tasa de variación anual;2026M03;5,43
Total;Gasto total;Tasa de variación anual;2026M02;4,59
Total;Gasto total;Tasa de variación anual;2026M01;9,26
Total;Gasto total;Tasa de variación anual;2025M12;5,31
Total;Gasto total;Tasa de variación anual;2025M11;4,93
Total;Gasto total;Tasa de variación anual;2025M10;7,60
Total;Gasto total;Tasa de variación anual;2025M09;6,28
Total;Gasto total;Tasa de variación anual;2025M08;6,36
Total;Gasto total;Tasa de variación anual;2025M07;5,93
Total;Gasto total;Tasa de variación anual;2025M06;5,61
Total;Gasto total;Tasa de variación anual;2025M05;4,62
Total;Gasto total;Tasa de variación anual;2025M04;14,63
Total;Gasto total;Tasa de variación anual;2025M03;5,57
Total;Gasto total;Tasa de variación anual;2025M02;7,80
Total;Gasto total;Tasa de variación anual;2025M01;9,11
Total;Gasto total;Tasa de variación anual;2024M12;7,05
Total;Gasto total;Tasa de variación anual;2024M11;16,00
Total;Gasto total;Tasa de variación anual;2024M10;15,50
Total;Gasto total;Tasa de variación anual;2024M09;12,68
Total;Gasto total;Tasa de variación anual;2024M08;12,98
Total;Gasto total;Tasa de variación anual;2024M07;11,76
Total;Gasto total;Tasa de variación anual;2024M06;16,49
Total;Gasto total;Tasa de variación anual;2024M05;19,66
Total;Gasto total;Tasa de variación anual;2024M04;12,23
Total;Gasto total;Tasa de variación anual;2024M03;29,44
Total;Gasto total;Tasa de variación anual;2024M02;25,77
Total;Gasto total;Tasa de variación anual;2024M01;25,48
Total;Gasto total;Tasa de variación anual;2023M12;35,35
Total;Gasto total;Tasa de variación anual;2023M11;23,46
Total;Gasto total;Tasa de variación anual;2023M10;23,95
Total;Gasto total;Tasa de variación anual;2023M09;22,37
Total;Gasto total;Tasa de variación anual;2023M08;20,54
Total;Gasto total;Tasa de variación anual;2023M07;16,63
Total;Gasto total;Tasa de variación anual;2023M06;17,53
Total;Gasto total;Tasa de variación anual;2023M05;21,38
Total;Gasto total;Tasa de variación anual;2023M04;22,35
Total;Gasto total;Tasa de variación anual;2023M03;31,33
Total;Gasto total;Tasa de variación anual;2023M02;42,11
Total;Gasto total;Tasa de variación anual;2023M01;71,62
Total;Gasto total;Tasa de variación anual;2022M12;48,13
Total;Gasto total;Tasa de variación anual;2022M11;43,08
Total;Gasto total;Tasa de variación anual;2022M10;48,25
Total;Gasto total;Tasa de variación anual;2022M09;81,10
Total;Gasto total;Tasa de variación anual;2022M08;90,98
Total;Gasto total;Tasa de variación anual;2022M07;127,60
Total;Gasto total;Tasa de variación anual;2022M06;272,70
Total;Gasto total;Tasa de variación anual;2022M05;476,52
Total;Gasto total;Tasa de variación anual;2022M04;933,80
Total;Gasto total;Tasa de variación anual;2022M03;833,54
Total;Gasto total;Tasa de variación anual;2022M02;1.065,68
Total;Gasto total;Tasa de variación anual;2022M01;564,53
Total;Gasto total;Tasa de variación anual;2021M12;407,54
Total;Gasto total;Tasa de variación anual;2021M11;680,43
Total;Gasto total;Tasa de variación anual;2021M10;548,51
Total;Gasto total;Tasa de variación anual;2021M09;423,72
Total;Gasto total;Tasa de variación anual;2021M08;140,44
Total;Gasto total;Tasa de variación anual;2021M07;112,76
Total;Gasto total;Tasa de variación anual;2021M06;1.708,65
Total;Gasto total;Tasa de variación anual;2021M05;..
Total;Gasto total;Tasa de variación anual;2021M04;..
Total;Gasto total;Tasa de variación anual;2021M03;-74,98
Total;Gasto total;Tasa de variación anual;2021M02;-93,24
Total;Gasto total;Tasa de variación anual;2021M01;-90,40
Total;Gasto total;Tasa de variación anual;2020M12;-86,09
Total;Gasto total;Tasa de variación anual;2020M11;-90,48
Total;Gasto total;Tasa de variación anual;2020M10;-89,61
Total;Gasto total;Tasa de variación anual;2020M09;-89,97
Total;Gasto total;Tasa de variación anual;2020M08;-79,01
Total;Gasto total;Tasa de variación anual;2020M07;-79,42
Total;Gasto total;Tasa de variación anual;2020M06;-98,62
Total;Gasto total;Tasa de variación anual;2020M05;-100,00
Total;Gasto total;Tasa de variación anual;2020M04;-100,00
Total;Gasto total;Tasa de variación anual;2020M03;-63,98
Total;Gasto total;Tasa de variación anual;2020M02;2,81
Total;Gasto total;Tasa de variación anual;2020M01;1,89
Total;Gasto total;Tasa de variación anual;2019M12;0,03
Total;Gasto total;Tasa de variación anual;2019M11;3,56
Total;Gasto total;Tasa de variación anual;2019M10;1,93
Total;Gasto total;Tasa de variación anual;2019M09;0,75
Total;Gasto total;Tasa de variación anual;2019M08;2,14
Total;Gasto total;Tasa de variación anual;2019M07;1,65
Total;Gasto total;Tasa de variación anual;2019M06;3,36
Total;Gasto total;Tasa de variación anual;2019M05;-0,21
Total;Gasto total;Tasa de variación anual;2019M04;6,57
Total;Gasto total;Tasa de variación anual;2019M03;5,38
Total;Gasto total;Tasa de variación anual;2019M02;2,70
Total;Gasto total;Tasa de variación anual;2019M01;3,41
Total;Gasto total;Tasa de variación anual;2018M12;10,57
Total;Gasto total;Tasa de variación anual;2018M11;5,30
Total;Gasto total;Tasa de variación anual;2018M10;4,82
Total;Gasto total;Tasa de variación anual;2018M09;0,73
Total;Gasto total;Tasa de variación anual;2018M08;1,05
Total;Gasto total;Tasa de variación anual;2018M07;-0,87
Total;Gasto total;Tasa de variación anual;2018M06;4,26
Total;Gasto total;Tasa de variación anual;2018M05;2,88
Total;Gasto total;Tasa de variación anual;2018M04;-2,37
Total;Gasto total;Tasa de variación anual;2018M03;12,08
Total;Gasto total;Tasa de variación anual;2018M02;5,37
Total;Gasto total;Tasa de variación anual;2018M01;6,13
Total;Gasto total;Tasa de variación anual;2017M12;0,11
Total;Gasto total;Tasa de variación anual;2017M11;10,40
Total;Gasto total;Tasa de variación anual;2017M10;6,21
Total;Gasto total;Tasa de variación anual;2017M09;12,82
Total;Gasto total;Tasa de variación anual;2017M08;10,29
Total;Gasto total;Tasa de variación anual;2017M07;15,75
Total;Gasto total;Tasa de variación anual;2017M06;14,97
Total;Gasto total;Tasa de variación anual;2017M05;14,59
Total;Gasto total;Tasa de variación anual;2017M04;20,51
Total;Gasto total;Tasa de variación anual;2017M03;10,49
Total;Gasto total;Tasa de variación anual;2017M02;16,15
Total;Gasto total;Tasa de variación anual;2017M01;14,07
Total;Gasto total;Tasa de variación anual;2016M12;19,93
Total;Gasto total;Tasa de variación anual;2016M11;8,58
Total;Gasto total;Tasa de variación anual;2016M10;16,77
Total;Gasto total;Tasa de variación anual;2016M09;10,30
Total;Gasto total;Tasa de variación anual;2016M08;4,13
Total;Gasto total;Tasa de variación anual;2016M07;7,75
Total;Gasto total;Tasa de variación anual;2016M06;12,77
Total;Gasto total;Tasa de variación anual;2016M05;8,54
Total;Gasto total;Tasa de variación anual;2016M04;4,22
Total;Gasto total;Tasa de variación anual;2016M03;9,43
Total;Gasto total;Tasa de variación anual;2016M02;8,02
Total;Gasto total;Tasa de variación anual;2016M01;3,62
Total;Gasto total;Tasa de variación anual;2015M12;9,42
Total;Gasto total;Tasa de variación anual;2015M11;12,19
Total;Gasto total;Tasa de variación anual;2015M10;4,06
Total;Gasto total;Acumulado en lo que va de año;2026M07;82.053,55
Total;Gasto total;Acumulado en lo que va de año;2026M06;63.835,59
Total;Gasto total;Acumulado en lo que va de año;2026M05;50.256,55
Total;Gasto total;Acumulado en lo que va de año;2026M04;36.703,09
Total;Gasto total;Acumulado en lo que va de año;2026M03;25.017,45
Total;Gasto total;Acumulado en lo que va de año;2026M02;15.411,05
Total;Gasto total;Acumulado en lo que va de año;2026M01;7.804,61
Total;Gasto total;Acumulado en lo que va de año;2025M12;134.743,32
Total;Gasto total;Acumulado en lo que va de año;2025M11;126.749,91
Total;Gasto total;Acumulado en lo que va de año;2025M10;118.662,08
Total;Gasto total;Acumulado en lo que va de año;2025M09;105.859,08
Total;Gasto total;Acumulado en lo que va de año;2025M08;92.454,49
Total;Gasto total;Acumulado en lo que va de año;2025M07;76.112,91
Total;Gasto total;Acumulado en lo que va de año;2025M06;59.680,30
Total;Gasto total;Acumulado en lo que va de año;2025M05;46.629,72
Total;Gasto total;Acumulado en lo que va de año;2025M04;34.403,31
Total;Gasto total;Acumulado en lo que va de año;2025M03;23.527,56
Total;Gasto total;Acumulado en lo que va de año;2025M02;14.415,54
Total;Gasto total;Acumulado en lo que va de año;2025M01;7.142,91
Total;Gasto total;Acumulado en lo que va de año;2024M12;126.143,22
Total;Gasto total;Acumulado en lo que va de año;2024M11;118.552,88
Total;Gasto total;Acumulado en lo que va de año;2024M10;110.845,21
Total;Gasto total;Acumulado en lo que va de año;2024M09;98.946,51
Total;Gasto total;Acumulado en lo que va de año;2024M08;86.333,47
Total;Gasto total;Acumulado en lo que va de año;2024M07;70.969,05
Total;Gasto total;Acumulado en lo que va de año;2024M06;55.455,76
Total;Gasto total;Acumulado en lo que va de año;2024M05;43.098,98
Total;Gasto total;Acumulado en lo que va de año;2024M04;31.412,07
Total;Gasto total;Acumulado en lo que va de año;2024M03;21.923,97
Total;Gasto total;Acumulado en lo que va de año;2024M02;13.292,61
Total;Gasto total;Acumulado en lo que va de año;2024M01;6.546,30
Total;Gasto total;Acumulado en lo que va de año;2023M12;108.789,41
Total;Gasto total;Acumulado en lo que va de año;2023M11;101.698,91
Total;Gasto total;Acumulado en lo que va de año;2023M10;95.054,44
Total;Gasto total;Acumulado en lo que va de año;2023M09;84.752,38
Total;Gasto total;Acumulado en lo que va de año;2023M08;73.558,79
Total;Gasto total;Acumulado en lo que va de año;2023M07;59.959,39
Total;Gasto total;Acumulado en lo que va de año;2023M06;46.078,56
Total;Gasto total;Acumulado en lo que va de año;2023M05;35.470,58
Total;Gasto total;Acumulado en lo que va de año;2023M04;25.703,61
Total;Gasto total;Acumulado en lo que va de año;2023M03;17.249,14
Total;Gasto total;Acumulado en lo que va de año;2023M02;10.581,07
Total;Gasto total;Acumulado en lo que va de año;2023M01;5.216,94
Total;Gasto total;Acumulado en lo que va de año;2022M12;87.138,19
Total;Gasto total;Acumulado en lo que va de año;2022M11;81.899,39
Total;Gasto total;Acumulado en lo que va de año;2022M10;76.517,42
Total;Gasto total;Acumulado en lo que va de año;2022M09;68.206,22
Total;Gasto total;Acumulado en lo que va de año;2022M08;59.058,53
Total;Gasto total;Acumulado en lo que va de año;2022M07;47.776,70
Total;Gasto total;Acumulado en lo que va de año;2022M06;35.874,60
Total;Gasto total;Acumulado en lo que va de año;2022M05;26.848,93
Total;Gasto total;Acumulado en lo que va de año;2022M04;18.802,02
Total;Gasto total;Acumulado en lo que va de año;2022M03;11.891,91
Total;Gasto total;Acumulado en lo que va de año;2022M02;6.814,46
Total;Gasto total;Acumulado en lo que va de año;2022M01;3.039,78
Total;Gasto total;Acumulado en lo que va de año;2021M12;34.903,37
Total;Gasto total;Acumulado en lo que va de año;2021M11;31.366,78
Total;Gasto total;Acumulado en lo que va de año;2021M10;27.605,29
Total;Gasto total;Acumulado en lo que va de año;2021M09;21.998,99
Total;Gasto total;Acumulado en lo que va de año;2021M08;16.947,80
Total;Gasto total;Acumulado en lo que va de año;2021M07;11.040,49
Total;Gasto total;Acumulado en lo que va de año;2021M06;5.811,02
Total;Gasto total;Acumulado en lo que va de año;2021M05;3.389,33
Total;Gasto total;Acumulado en lo que va de año;2021M04;1.993,56
Total;Gasto total;Acumulado en lo que va de año;2021M03;1.325,14
Total;Gasto total;Acumulado en lo que va de año;2021M02;781,25
Total;Gasto total;Acumulado en lo que va de año;2021M01;457,43
Total;Gasto total;Acumulado en lo que va de año;2020M12;19.786,78
Total;Gasto total;Acumulado en lo que va de año;2020M11;19.089,98
Total;Gasto total;Acumulado en lo que va de año;2020M10;18.608,00
Total;Gasto total;Acumulado en lo que va de año;2020M09;17.743,51
Total;Gasto total;Acumulado en lo que va de año;2020M08;16.779,01
Total;Gasto total;Acumulado en lo que va de año;2020M07;14.322,16
Total;Gasto total;Acumulado en lo que va de año;2020M06;11.864,22
Total;Gasto total;Acumulado en lo que va de año;2020M05;11.730,33
Total;Gasto total;Acumulado en lo que va de año;2020M04;11.730,33
Total;Gasto total;Acumulado en lo que va de año;2020M03;11.730,33
Total;Gasto total;Acumulado en lo que va de año;2020M02;9.556,60
Total;Gasto total;Acumulado en lo que va de año;2020M01;4.767,31
Total;Gasto total;Acumulado en lo que va de año;2019M12;91.911,97
Total;Gasto total;Acumulado en lo que va de año;2019M11;86.901,13
Total;Gasto total;Acumulado en lo que va de año;2019M10;81.838,50
Total;Gasto total;Acumulado en lo que va de año;2019M09;73.515,95
Total;Gasto total;Acumulado en lo que va de año;2019M08;63.898,74
Total;Gasto total;Acumulado en lo que va de año;2019M07;52.193,98
Total;Gasto total;Acumulado en lo que va de año;2019M06;40.252,47
Total;Gasto total;Acumulado en lo que va de año;2019M05;30.566,35
Total;Gasto total;Acumulado en lo que va de año;2019M04;22.428,51
Total;Gasto total;Acumulado en lo que va de año;2019M03;15.372,15
Total;Gasto total;Acumulado en lo que va de año;2019M02;9.337,28
Total;Gasto total;Acumulado en lo que va de año;2019M01;4.678,67
Total;Gasto total;Acumulado en lo que va de año;2018M12;89.750,75
Total;Gasto total;Acumulado en lo que va de año;2018M11;84.741,23
Total;Gasto total;Acumulado en lo que va de año;2018M10;79.852,68
Total;Gasto total;Acumulado en lo que va de año;2018M09;71.688,10
Total;Gasto total;Acumulado en lo que va de año;2018M08;62.142,29
Total;Gasto total;Acumulado en lo que va de año;2018M07;50.682,60
Total;Gasto total;Acumulado en lo que va de año;2018M06;38.934,51
Total;Gasto total;Acumulado en lo que va de año;2018M05;29.563,70
Total;Gasto total;Acumulado en lo que va de año;2018M04;21.408,64
Total;Gasto total;Acumulado en lo que va de año;2018M03;14.787,10
Total;Gasto total;Acumulado en lo que va de año;2018M02;9.060,37
Total;Gasto total;Acumulado en lo que va de año;2018M01;4.524,43
Total;Gasto total;Acumulado en lo que va de año;2017M12;87.003,93
Total;Gasto total;Acumulado en lo que va de año;2017M11;82.473,27
Total;Gasto total;Acumulado en lo que va de año;2017M10;77.830,92
Total;Gasto total;Acumulado en lo que va de año;2017M09;70.041,69
Total;Gasto total;Acumulado en lo que va de año;2017M08;60.565,40
Total;Gasto total;Acumulado en lo que va de año;2017M07;49.225,11
Total;Gasto total;Acumulado en lo que va de año;2017M06;37.374,12
Total;Gasto total;Acumulado en lo que va de año;2017M05;28.386,35
Total;Gasto total;Acumulado en lo que va de año;2017M04;20.459,29
Total;Gasto total;Acumulado en lo que va de año;2017M03;13.677,21
Total;Gasto total;Acumulado en lo que va de año;2017M02;8.567,72
Total;Gasto total;Acumulado en lo que va de año;2017M01;4.262,99
Total;Gasto total;Acumulado en lo que va de año;2016M12;77.415,54
Total;Gasto total;Acumulado en lo que va de año;2016M11;72.890,09
Total;Gasto total;Acumulado en lo que va de año;2016M10;68.685,02
Total;Gasto total;Acumulado en lo que va de año;2016M09;61.351,17
Total;Gasto total;Acumulado en lo que va de año;2016M08;52.951,86
Total;Gasto total;Acumulado en lo que va de año;2016M07;42.669,88
Total;Gasto total;Acumulado en lo que va de año;2016M06;32.431,34
Total;Gasto total;Acumulado en lo que va de año;2016M05;24.613,93
Total;Gasto total;Acumulado en lo que va de año;2016M04;17.696,00
Total;Gasto total;Acumulado en lo que va de año;2016M03;12.068,01
Total;Gasto total;Acumulado en lo que va de año;2016M02;7.443,53
Total;Gasto total;Acumulado en lo que va de año;2016M01;3.737,26
Total;Gasto total;Acumulado en lo que va de año;2015M12;""
Total;Gasto total;Acumulado en lo que va de año;2015M11;""
Total;Gasto total;Acumulado en lo que va de año;2015M10;""
Total;Gasto total;Tasa de variación acumulada;2026M07;7,81
Total;Gasto total;Tasa de variación acumulada;2026M06;6,96
Total;Gasto total;Tasa de variación acumulada;2026M05;7,78
Total;Gasto total;Tasa de variación acumulada;2026M04;6,68
Total;Gasto total;Tasa de variación acumulada;2026M03;6,33
Total;Gasto total;Tasa de variación acumulada;2026M02;6,91
Total;Gasto total;Tasa de variación acumulada;2026M01;9,26
Total;Gasto total;Tasa de variación acumulada;2025M12;6,82
Total;Gasto total;Tasa de variación acumulada;2025M11;6,91
Total;Gasto total;Tasa de variación acumulada;2025M10;7,05
Total;Gasto total;Tasa de variación acumulada;2025M09;6,99
Total;Gasto total;Tasa de variación acumulada;2025M08;7,09
Total;Gasto total;Tasa de variación acumulada;2025M07;7,25
Total;Gasto total;Tasa de variación acumulada;2025M06;7,62
Total;Gasto total;Tasa de variación acumulada;2025M05;8,19
Total;Gasto total;Tasa de variación acumulada;2025M04;9,52
Total;Gasto total;Tasa de variación acumulada;2025M03;7,31
Total;Gasto total;Tasa de variación acumulada;2025M02;8,45
Total;Gasto total;Tasa de variación acumulada;2025M01;9,11
Total;Gasto total;Tasa de variación acumulada;2024M12;15,95
Total;Gasto total;Tasa de variación acumulada;2024M11;16,57
Total;Gasto total;Tasa de variación acumulada;2024M10;16,61
Total;Gasto total;Tasa de variación acumulada;2024M09;16,75
Total;Gasto total;Tasa de variación acumulada;2024M08;17,37
Total;Gasto total;Tasa de variación acumulada;2024M07;18,36
Total;Gasto total;Tasa de variación acumulada;2024M06;20,35
Total;Gasto total;Tasa de variación acumulada;2024M05;21,51
Total;Gasto total;Tasa de variación acumulada;2024M04;22,21
Total;Gasto total;Tasa de variación acumulada;2024M03;27,10
Total;Gasto total;Tasa de variación acumulada;2024M02;25,63
Total;Gasto total;Tasa de variación acumulada;2024M01;25,48
Total;Gasto total;Tasa de variación acumulada;2023M12;24,85
Total;Gasto total;Tasa de variación acumulada;2023M11;24,18
Total;Gasto total;Tasa de variación acumulada;2023M10;24,23
Total;Gasto total;Tasa de variación acumulada;2023M09;24,26
Total;Gasto total;Tasa de variación acumulada;2023M08;24,55
Total;Gasto total;Tasa de variación acumulada;2023M07;25,50
Total;Gasto total;Tasa de variación acumulada;2023M06;28,44
Total;Gasto total;Tasa de variación acumulada;2023M05;32,11
Total;Gasto total;Tasa de variación acumulada;2023M04;36,71
Total;Gasto total;Tasa de variación acumulada;2023M03;45,05
Total;Gasto total;Tasa de variación acumulada;2023M02;55,27
Total;Gasto total;Tasa de variación acumulada;2023M01;71,62
Total;Gasto total;Tasa de variación acumulada;2022M12;149,66
Total;Gasto total;Tasa de variación acumulada;2022M11;161,10
Total;Gasto total;Tasa de variación acumulada;2022M10;177,18
Total;Gasto total;Tasa de variación acumulada;2022M09;210,04
Total;Gasto total;Tasa de variación acumulada;2022M08;248,47
Total;Gasto total;Tasa de variación acumulada;2022M07;332,74
Total;Gasto total;Tasa de variación acumulada;2022M06;517,35
Total;Gasto total;Tasa de variación acumulada;2022M05;692,16
Total;Gasto total;Tasa de variación acumulada;2022M04;843,14
Total;Gasto total;Tasa de variación acumulada;2022M03;797,41
Total;Gasto total;Tasa de variación acumulada;2022M02;772,25
Total;Gasto total;Tasa de variación acumulada;2022M01;564,53
Total;Gasto total;Tasa de variación acumulada;2021M12;76,40
Total;Gasto total;Tasa de variación acumulada;2021M11;64,31
Total;Gasto total;Tasa de variación acumulada;2021M10;48,35
Total;Gasto total;Tasa de variación acumulada;2021M09;23,98
Total;Gasto total;Tasa de variación acumulada;2021M08;1,01
Total;Gasto total;Tasa de variación acumulada;2021M07;-22,91
Total;Gasto total;Tasa de variación acumulada;2021M06;-51,02
Total;Gasto total;Tasa de variación acumulada;2021M05;-71,11
Total;Gasto total;Tasa de variación acumulada;2021M04;-83,01
Total;Gasto total;Tasa de variación acumulada;2021M03;-88,70
Total;Gasto total;Tasa de variación acumulada;2021M02;-91,83
Total;Gasto total;Tasa de variación acumulada;2021M01;-90,40
Total;Gasto total;Tasa de variación acumulada;2020M12;-78,47
Total;Gasto total;Tasa de variación acumulada;2020M11;-78,03
Total;Gasto total;Tasa de variación acumulada;2020M10;-77,26
Total;Gasto total;Tasa de variación acumulada;2020M09;-75,86
Total;Gasto total;Tasa de variación acumulada;2020M08;-73,74
Total;Gasto total;Tasa de variación acumulada;2020M07;-72,56
Total;Gasto total;Tasa de variación acumulada;2020M06;-70,53
Total;Gasto total;Tasa de variación acumulada;2020M05;-61,62
Total;Gasto total;Tasa de variación acumulada;2020M04;-47,70
Total;Gasto total;Tasa de variación acumulada;2020M03;-23,69
Total;Gasto total;Tasa de variación acumulada;2020M02;2,35
Total;Gasto total;Tasa de variación acumulada;2020M01;1,89
Total;Gasto total;Tasa de variación acumulada;2019M12;2,41
Total;Gasto total;Tasa de variación acumulada;2019M11;2,55
Total;Gasto total;Tasa de variación acumulada;2019M10;2,49
Total;Gasto total;Tasa de variación acumulada;2019M09;2,55
Total;Gasto total;Tasa de variación acumulada;2019M08;2,83
Total;Gasto total;Tasa de variación acumulada;2019M07;2,98
Total;Gasto total;Tasa de variación acumulada;2019M06;3,39
Total;Gasto total;Tasa de variación acumulada;2019M05;3,39
Total;Gasto total;Tasa de variación acumulada;2019M04;4,76
Total;Gasto total;Tasa de variación acumulada;2019M03;3,96
Total;Gasto total;Tasa de variación acumulada;2019M02;3,06
Total;Gasto total;Tasa de variación acumulada;2019M01;3,41
Total;Gasto total;Tasa de variación acumulada;2018M12;3,16
