Via de acceso;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Total;Dato base;Gasto total;2026M07;18.217,95
Total;Dato base;Gasto total;2026M06;13.579,04
Total;Dato base;Gasto total;2026M05;13.553,47
Total;Dato base;Gasto total;2026M04;11.685,64
Total;Dato base;Gasto total;2026M03;9.606,40
Total;Dato base;Gasto total;2026M02;7.606,44
Total;Dato base;Gasto total;2026M01;7.804,61
Total;Dato base;Gasto total;2025M12;7.993,41
Total;Dato base;Gasto total;2025M11;8.087,84
Total;Dato base;Gasto total;2025M10;12.803,00
Total;Dato base;Gasto total;2025M09;13.404,59
Total;Dato base;Gasto total;2025M08;16.341,58
Total;Dato base;Gasto total;2025M07;16.432,61
Total;Dato base;Gasto total;2025M06;13.050,58
Total;Dato base;Gasto total;2025M05;12.226,41
Total;Dato base;Gasto total;2025M04;10.875,75
Total;Dato base;Gasto total;2025M03;9.112,01
Total;Dato base;Gasto total;2025M02;7.272,63
Total;Dato base;Gasto total;2025M01;7.142,91
Total;Dato base;Gasto total;2024M12;7.590,34
Total;Dato base;Gasto total;2024M11;7.707,67
Total;Dato base;Gasto total;2024M10;11.898,70
Total;Dato base;Gasto total;2024M09;12.613,05
Total;Dato base;Gasto total;2024M08;15.364,42
Total;Dato base;Gasto total;2024M07;15.513,29
Total;Dato base;Gasto total;2024M06;12.356,78
Total;Dato base;Gasto total;2024M05;11.686,91
Total;Dato base;Gasto total;2024M04;9.488,10
Total;Dato base;Gasto total;2024M03;8.631,35
Total;Dato base;Gasto total;2024M02;6.746,32
Total;Dato base;Gasto total;2024M01;6.546,30
Total;Dato base;Gasto total;2023M12;7.090,50
Total;Dato base;Gasto total;2023M11;6.644,47
Total;Dato base;Gasto total;2023M10;10.302,07
Total;Dato base;Gasto total;2023M09;11.193,59
Total;Dato base;Gasto total;2023M08;13.599,39
Total;Dato base;Gasto total;2023M07;13.880,83
Total;Dato base;Gasto total;2023M06;10.607,99
Total;Dato base;Gasto total;2023M05;9.766,97
Total;Dato base;Gasto total;2023M04;8.454,47
Total;Dato base;Gasto total;2023M03;6.668,07
Total;Dato base;Gasto total;2023M02;5.364,13
Total;Dato base;Gasto total;2023M01;5.216,94
Total;Dato base;Gasto total;2022M12;5.238,80
Total;Dato base;Gasto total;2022M11;5.381,97
Total;Dato base;Gasto total;2022M10;8.311,20
Total;Dato base;Gasto total;2022M09;9.147,69
Total;Dato base;Gasto total;2022M08;11.281,82
Total;Dato base;Gasto total;2022M07;11.902,10
Total;Dato base;Gasto total;2022M06;9.025,67
Total;Dato base;Gasto total;2022M05;8.046,91
Total;Dato base;Gasto total;2022M04;6.910,11
Total;Dato base;Gasto total;2022M03;5.077,45
Total;Dato base;Gasto total;2022M02;3.774,69
Total;Dato base;Gasto total;2022M01;3.039,78
Total;Dato base;Gasto total;2021M12;3.536,59
Total;Dato base;Gasto total;2021M11;3.761,50
Total;Dato base;Gasto total;2021M10;5.606,29
Total;Dato base;Gasto total;2021M09;5.051,20
Total;Dato base;Gasto total;2021M08;5.907,30
Total;Dato base;Gasto total;2021M07;5.229,47
Total;Dato base;Gasto total;2021M06;2.421,69
Total;Dato base;Gasto total;2021M05;1.395,78
Total;Dato base;Gasto total;2021M04;668,42
Total;Dato base;Gasto total;2021M03;543,89
Total;Dato base;Gasto total;2021M02;323,82
Total;Dato base;Gasto total;2021M01;457,43
Total;Dato base;Gasto total;2020M12;696,81
Total;Dato base;Gasto total;2020M11;481,98
Total;Dato base;Gasto total;2020M10;864,49
Total;Dato base;Gasto total;2020M09;964,49
Total;Dato base;Gasto total;2020M08;2.456,85
Total;Dato base;Gasto total;2020M07;2.457,94
Total;Dato base;Gasto total;2020M06;133,89
Total;Dato base;Gasto total;2020M05;0,00
Total;Dato base;Gasto total;2020M04;0,00
Total;Dato base;Gasto total;2020M03;2.173,73
Total;Dato base;Gasto total;2020M02;4.789,29
Total;Dato base;Gasto total;2020M01;4.767,31
Total;Dato base;Gasto total;2019M12;5.010,84
Total;Dato base;Gasto total;2019M11;5.062,63
Total;Dato base;Gasto total;2019M10;8.322,55
Total;Dato base;Gasto total;2019M09;9.617,21
Total;Dato base;Gasto total;2019M08;11.704,76
Total;Dato base;Gasto total;2019M07;11.941,51
Total;Dato base;Gasto total;2019M06;9.686,12
Total;Dato base;Gasto total;2019M05;8.137,84
Total;Dato base;Gasto total;2019M04;7.056,36
Total;Dato base;Gasto total;2019M03;6.034,87
Total;Dato base;Gasto total;2019M02;4.658,61
Total;Dato base;Gasto total;2019M01;4.678,67
Total;Dato base;Gasto total;2018M12;5.009,52
Total;Dato base;Gasto total;2018M11;4.888,55
Total;Dato base;Gasto total;2018M10;8.164,58
Total;Dato base;Gasto total;2018M09;9.545,81
Total;Dato base;Gasto total;2018M08;11.459,69
Total;Dato base;Gasto total;2018M07;11.748,10
Total;Dato base;Gasto total;2018M06;9.370,81
Total;Dato base;Gasto total;2018M05;8.155,06
Total;Dato base;Gasto total;2018M04;6.621,53
Total;Dato base;Gasto total;2018M03;5.726,73
Total;Dato base;Gasto total;2018M02;4.535,94
Total;Dato base;Gasto total;2018M01;4.524,43
Total;Dato base;Gasto total;2017M12;4.530,66
Total;Dato base;Gasto total;2017M11;4.642,35
Total;Dato base;Gasto total;2017M10;7.789,23
Total;Dato base;Gasto total;2017M09;9.476,29
Total;Dato base;Gasto total;2017M08;11.340,29
Total;Dato base;Gasto total;2017M07;11.850,99
Total;Dato base;Gasto total;2017M06;8.987,77
Total;Dato base;Gasto total;2017M05;7.927,07
Total;Dato base;Gasto total;2017M04;6.782,08
Total;Dato base;Gasto total;2017M03;5.109,49
Total;Dato base;Gasto total;2017M02;4.304,73
Total;Dato base;Gasto total;2017M01;4.262,99
Total;Dato base;Gasto total;2016M12;4.525,45
Total;Dato base;Gasto total;2016M11;4.205,06
Total;Dato base;Gasto total;2016M10;7.333,85
Total;Dato base;Gasto total;2016M09;8.399,31
Total;Dato base;Gasto total;2016M08;10.281,98
Total;Dato base;Gasto total;2016M07;10.238,54
Total;Dato base;Gasto total;2016M06;7.817,41
Total;Dato base;Gasto total;2016M05;6.917,93
Total;Dato base;Gasto total;2016M04;5.627,99
Total;Dato base;Gasto total;2016M03;4.624,47
Total;Dato base;Gasto total;2016M02;3.706,27
Total;Dato base;Gasto total;2016M01;3.737,26
Total;Dato base;Gasto total;2015M12;3.773,27
Total;Dato base;Gasto total;2015M11;3.872,84
Total;Dato base;Gasto total;2015M10;6.280,63
Total;Dato base;Gasto medio por persona;2026M07;1.579
Total;Dato base;Gasto medio por persona;2026M06;1.393
Total;Dato base;Gasto medio por persona;2026M05;1.321
Total;Dato base;Gasto medio por persona;2026M04;1.291
Total;Dato base;Gasto medio por persona;2026M03;1.411
Total;Dato base;Gasto medio por persona;2026M02;1.366
Total;Dato base;Gasto medio por persona;2026M01;1.522
Total;Dato base;Gasto medio por persona;2025M12;1.515
Total;Dato base;Gasto medio por persona;2025M11;1.401
Total;Dato base;Gasto medio por persona;2025M10;1.383
Total;Dato base;Gasto medio por persona;2025M09;1.379
Total;Dato base;Gasto medio por persona;2025M08;1.456
Total;Dato base;Gasto medio por persona;2025M07;1.490
Total;Dato base;Gasto medio por persona;2025M06;1.378
Total;Dato base;Gasto medio por persona;2025M05;1.305
Total;Dato base;Gasto medio por persona;2025M04;1.264
Total;Dato base;Gasto medio por persona;2025M03;1.382
Total;Dato base;Gasto medio por persona;2025M02;1.343
Total;Dato base;Gasto medio por persona;2025M01;1.410
Total;Dato base;Gasto medio por persona;2024M12;1.442
Total;Dato base;Gasto medio por persona;2024M11;1.359
Total;Dato base;Gasto medio por persona;2024M10;1.328
Total;Dato base;Gasto medio por persona;2024M09;1.314
Total;Dato base;Gasto medio por persona;2024M08;1.406
Total;Dato base;Gasto medio por persona;2024M07;1.429
Total;Dato base;Gasto medio por persona;2024M06;1.329
Total;Dato base;Gasto medio por persona;2024M05;1.263
Total;Dato base;Gasto medio por persona;2024M04;1.219
Total;Dato base;Gasto medio por persona;2024M03;1.359
Total;Dato base;Gasto medio por persona;2024M02;1.346
Total;Dato base;Gasto medio por persona;2024M01;1.371
Total;Dato base;Gasto medio por persona;2023M12;1.361
Total;Dato base;Gasto medio por persona;2023M11;1.294
Total;Dato base;Gasto medio por persona;2023M10;1.258
Total;Dato base;Gasto medio por persona;2023M09;1.273
Total;Dato base;Gasto medio por persona;2023M08;1.335
Total;Dato base;Gasto medio por persona;2023M07;1.372
Total;Dato base;Gasto medio por persona;2023M06;1.277
Total;Dato base;Gasto medio por persona;2023M05;1.177
Total;Dato base;Gasto medio por persona;2023M04;1.170
Total;Dato base;Gasto medio por persona;2023M03;1.271
Total;Dato base;Gasto medio por persona;2023M02;1.242
Total;Dato base;Gasto medio por persona;2023M01;1.262
Total;Dato base;Gasto medio por persona;2022M12;1.269
Total;Dato base;Gasto medio por persona;2022M11;1.242
Total;Dato base;Gasto medio por persona;2022M10;1.158
Total;Dato base;Gasto medio por persona;2022M09;1.178
Total;Dato base;Gasto medio por persona;2022M08;1.275
Total;Dato base;Gasto medio por persona;2022M07;1.309
Total;Dato base;Gasto medio por persona;2022M06;1.204
Total;Dato base;Gasto medio por persona;2022M05;1.151
Total;Dato base;Gasto medio por persona;2022M04;1.132
Total;Dato base;Gasto medio por persona;2022M03;1.257
Total;Dato base;Gasto medio por persona;2022M02;1.187
Total;Dato base;Gasto medio por persona;2022M01;1.215
Total;Dato base;Gasto medio por persona;2021M12;1.200
Total;Dato base;Gasto medio por persona;2021M11;1.119
Total;Dato base;Gasto medio por persona;2021M10;1.089
Total;Dato base;Gasto medio por persona;2021M09;1.074
Total;Dato base;Gasto medio por persona;2021M08;1.137
Total;Dato base;Gasto medio por persona;2021M07;1.189
Total;Dato base;Gasto medio por persona;2021M06;1.093
Total;Dato base;Gasto medio por persona;2021M05;1.024
Total;Dato base;Gasto medio por persona;2021M04;1.062
Total;Dato base;Gasto medio por persona;2021M03;1.107
Total;Dato base;Gasto medio por persona;2021M02;1.136
Total;Dato base;Gasto medio por persona;2021M01;1.044
Total;Dato base;Gasto medio por persona;2020M12;1.074
Total;Dato base;Gasto medio por persona;2020M11;1.055
Total;Dato base;Gasto medio por persona;2020M10;847
Total;Dato base;Gasto medio por persona;2020M09;847
Total;Dato base;Gasto medio por persona;2020M08;1.007
Total;Dato base;Gasto medio por persona;2020M07;997
Total;Dato base;Gasto medio por persona;2020M06;655
Total;Dato base;Gasto medio por persona;2020M05;0
Total;Dato base;Gasto medio por persona;2020M04;0
Total;Dato base;Gasto medio por persona;2020M03;1.088
Total;Dato base;Gasto medio por persona;2020M02;1.082
Total;Dato base;Gasto medio por persona;2020M01;1.153
Total;Dato base;Gasto medio por persona;2019M12;1.164
Total;Dato base;Gasto medio por persona;2019M11;1.088
Total;Dato base;Gasto medio por persona;2019M10;1.097
Total;Dato base;Gasto medio por persona;2019M09;1.087
Total;Dato base;Gasto medio por persona;2019M08;1.157
Total;Dato base;Gasto medio por persona;2019M07;1.209
Total;Dato base;Gasto medio por persona;2019M06;1.096
Total;Dato base;Gasto medio por persona;2019M05;1.028
Total;Dato base;Gasto medio por persona;2019M04;987
Total;Dato base;Gasto medio por persona;2019M03;1.068
Total;Dato base;Gasto medio por persona;2019M02;1.063
Total;Dato base;Gasto medio por persona;2019M01;1.115
Total;Dato base;Gasto medio por persona;2018M12;1.150
Total;Dato base;Gasto medio por persona;2018M11;1.078
Total;Dato base;Gasto medio por persona;2018M10;1.067
Total;Dato base;Gasto medio por persona;2018M09;1.069
Total;Dato base;Gasto medio por persona;2018M08;1.126
Total;Dato base;Gasto medio por persona;2018M07;1.172
Total;Dato base;Gasto medio por persona;2018M06;1.095
Total;Dato base;Gasto medio por persona;2018M05;1.009
Total;Dato base;Gasto medio por persona;2018M04;977
Total;Dato base;Gasto medio por persona;2018M03;1.062
Total;Dato base;Gasto medio por persona;2018M02;1.075
Total;Dato base;Gasto medio por persona;2018M01;1.102
Total;Dato base;Gasto medio por persona;2017M12;1.138
Total;Dato base;Gasto medio por persona;2017M11;1.057
Total;Dato base;Gasto medio por persona;2017M10;1.071
Total;Dato base;Gasto medio por persona;2017M09;1.067
Total;Dato base;Gasto medio por persona;2017M08;1.091
Total;Dato base;Gasto medio por persona;2017M07;1.129
Total;Dato base;Gasto medio por persona;2017M06;1.066
Total;Dato base;Gasto medio por persona;2017M05;991
Total;Dato base;Gasto medio por persona;2017M04;958
Total;Dato base;Gasto medio por persona;2017M03;1.040
Total;Dato base;Gasto medio por persona;2017M02;1.045
Total;Dato base;Gasto medio por persona;2017M01;1.091
Total;Dato base;Gasto medio por persona;2016M12;1.134
Total;Dato base;Gasto medio por persona;2016M11;1.026
Total;Dato base;Gasto medio por persona;2016M10;1.027
Total;Dato base;Gasto medio por persona;2016M09;1.059
Total;Dato base;Gasto medio por persona;2016M08;1.025
Total;Dato base;Gasto medio por persona;2016M07;1.073
Total;Dato base;Gasto medio por persona;2016M06;1.035
Total;Dato base;Gasto medio por persona;2016M05;973
Total;Dato base;Gasto medio por persona;2016M04;925
Total;Dato base;Gasto medio por persona;2016M03;999
Total;Dato base;Gasto medio por persona;2016M02;1.007
Total;Dato base;Gasto medio por persona;2016M01;1.060
Total;Dato base;Gasto medio por persona;2015M12;1.074
Total;Dato base;Gasto medio por persona;2015M11;1.031
Total;Dato base;Gasto medio por persona;2015M10;976
Total;Dato base;Gasto medio diario por persona;2026M07;218
Total;Dato base;Gasto medio diario por persona;2026M06;211
Total;Dato base;Gasto medio diario por persona;2026M05;214
Total;Dato base;Gasto medio diario por persona;2026M04;189
Total;Dato base;Gasto medio diario por persona;2026M03;198
Total;Dato base;Gasto medio diario por persona;2026M02;190
Total;Dato base;Gasto medio diario por persona;2026M01;177
Total;Dato base;Gasto medio diario por persona;2025M12;168
Total;Dato base;Gasto medio diario por persona;2025M11;189
Total;Dato base;Gasto medio diario por persona;2025M10;202
Total;Dato base;Gasto medio diario por persona;2025M09;204
Total;Dato base;Gasto medio diario por persona;2025M08;199
Total;Dato base;Gasto medio diario por persona;2025M07;210
Total;Dato base;Gasto medio diario por persona;2025M06;210
Total;Dato base;Gasto medio diario por persona;2025M05;210
Total;Dato base;Gasto medio diario por persona;2025M04;187
Total;Dato base;Gasto medio diario por persona;2025M03;188
Total;Dato base;Gasto medio diario por persona;2025M02;184
Total;Dato base;Gasto medio diario por persona;2025M01;165
Total;Dato base;Gasto medio diario por persona;2024M12;159
Total;Dato base;Gasto medio diario por persona;2024M11;178
Total;Dato base;Gasto medio diario por persona;2024M10;191
Total;Dato base;Gasto medio diario por persona;2024M09;195
Total;Dato base;Gasto medio diario por persona;2024M08;189
Total;Dato base;Gasto medio diario por persona;2024M07;196
Total;Dato base;Gasto medio diario por persona;2024M06;197
Total;Dato base;Gasto medio diario por persona;2024M05;205
Total;Dato base;Gasto medio diario por persona;2024M04;185
Total;Dato base;Gasto medio diario por persona;2024M03;180
Total;Dato base;Gasto medio diario por persona;2024M02;173
Total;Dato base;Gasto medio diario por persona;2024M01;158
Total;Dato base;Gasto medio diario por persona;2023M12;149
Total;Dato base;Gasto medio diario por persona;2023M11;174
Total;Dato base;Gasto medio diario por persona;2023M10;185
Total;Dato base;Gasto medio diario por persona;2023M09;188
Total;Dato base;Gasto medio diario por persona;2023M08;173
Total;Dato base;Gasto medio diario por persona;2023M07;191
Total;Dato base;Gasto medio diario por persona;2023M06;192
Total;Dato base;Gasto medio diario por persona;2023M05;188
Total;Dato base;Gasto medio diario por persona;2023M04;174
Total;Dato base;Gasto medio diario por persona;2023M03;170
Total;Dato base;Gasto medio diario por persona;2023M02;164
Total;Dato base;Gasto medio diario por persona;2023M01;149
Total;Dato base;Gasto medio diario por persona;2022M12;146
Total;Dato base;Gasto medio diario por persona;2022M11;167
Total;Dato base;Gasto medio diario por persona;2022M10;168
Total;Dato base;Gasto medio diario por persona;2022M09;170
Total;Dato base;Gasto medio diario por persona;2022M08;163
Total;Dato base;Gasto medio diario por persona;2022M07;169
Total;Dato base;Gasto medio diario por persona;2022M06;174
Total;Dato base;Gasto medio diario por persona;2022M05;176
Total;Dato base;Gasto medio diario por persona;2022M04;155
Total;Dato base;Gasto medio diario por persona;2022M03;157
Total;Dato base;Gasto medio diario por persona;2022M02;137
Total;Dato base;Gasto medio diario por persona;2022M01;124
Total;Dato base;Gasto medio diario por persona;2021M12;126
Total;Dato base;Gasto medio diario por persona;2021M11;142
Total;Dato base;Gasto medio diario por persona;2021M10;140
Total;Dato base;Gasto medio diario por persona;2021M09;138
Total;Dato base;Gasto medio diario por persona;2021M08;135
Total;Dato base;Gasto medio diario por persona;2021M07;145
Total;Dato base;Gasto medio diario por persona;2021M06;147
Total;Dato base;Gasto medio diario por persona;2021M05;141
Total;Dato base;Gasto medio diario por persona;2021M04;131
Total;Dato base;Gasto medio diario por persona;2021M03;131
Total;Dato base;Gasto medio diario por persona;2021M02;118
Total;Dato base;Gasto medio diario por persona;2021M01;106
Total;Dato base;Gasto medio diario por persona;2020M12;110
Total;Dato base;Gasto medio diario por persona;2020M11;124
Total;Dato base;Gasto medio diario por persona;2020M10;106
Total;Dato base;Gasto medio diario por persona;2020M09;107
Total;Dato base;Gasto medio diario por persona;2020M08;117
Total;Dato base;Gasto medio diario por persona;2020M07;124
Total;Dato base;Gasto medio diario por persona;2020M06;109
Total;Dato base;Gasto medio diario por persona;2020M05;0
Total;Dato base;Gasto medio diario por persona;2020M04;0
Total;Dato base;Gasto medio diario por persona;2020M03;154
Total;Dato base;Gasto medio diario por persona;2020M02;152
Total;Dato base;Gasto medio diario por persona;2020M01;145
Total;Dato base;Gasto medio diario por persona;2019M12;149
Total;Dato base;Gasto medio diario por persona;2019M11;161
Total;Dato base;Gasto medio diario por persona;2019M10;161
Total;Dato base;Gasto medio diario por persona;2019M09;152
Total;Dato base;Gasto medio diario por persona;2019M08;147
Total;Dato base;Gasto medio diario por persona;2019M07;160
Total;Dato base;Gasto medio diario por persona;2019M06;164
Total;Dato base;Gasto medio diario por persona;2019M05;164
Total;Dato base;Gasto medio diario por persona;2019M04;154
Total;Dato base;Gasto medio diario por persona;2019M03;151
Total;Dato base;Gasto medio diario por persona;2019M02;148
Total;Dato base;Gasto medio diario por persona;2019M01;139
Total;Dato base;Gasto medio diario por persona;2018M12;137
Total;Dato base;Gasto medio diario por persona;2018M11;154
Total;Dato base;Gasto medio diario por persona;2018M10;151
Total;Dato base;Gasto medio diario por persona;2018M09;147
Total;Dato base;Gasto medio diario por persona;2018M08;139
Total;Dato base;Gasto medio diario por persona;2018M07;152
Total;Dato base;Gasto medio diario por persona;2018M06;151
Total;Dato base;Gasto medio diario por persona;2018M05;149
Total;Dato base;Gasto medio diario por persona;2018M04;144
Total;Dato base;Gasto medio diario por persona;2018M03;142
Total;Dato base;Gasto medio diario por persona;2018M02;141
Total;Dato base;Gasto medio diario por persona;2018M01;132
Total;Dato base;Gasto medio diario por persona;2017M12;127
Total;Dato base;Gasto medio diario por persona;2017M11;138
Total;Dato base;Gasto medio diario por persona;2017M10;143
Total;Dato base;Gasto medio diario por persona;2017M09;143
Total;Dato base;Gasto medio diario por persona;2017M08;126
Total;Dato base;Gasto medio diario por persona;2017M07;139
Total;Dato base;Gasto medio diario por persona;2017M06;143
Total;Dato base;Gasto medio diario por persona;2017M05;145
Total;Dato base;Gasto medio diario por persona;2017M04;139
Total;Dato base;Gasto medio diario por persona;2017M03;141
Total;Dato base;Gasto medio diario por persona;2017M02;132
Total;Dato base;Gasto medio diario por persona;2017M01;129
Total;Dato base;Gasto medio diario por persona;2016M12;124
Total;Dato base;Gasto medio diario por persona;2016M11;138
Total;Dato base;Gasto medio diario por persona;2016M10;136
Total;Dato base;Gasto medio diario por persona;2016M09;135
Total;Dato base;Gasto medio diario por persona;2016M08;117
Total;Dato base;Gasto medio diario por persona;2016M07;131
Total;Dato base;Gasto medio diario por persona;2016M06;136
Total;Dato base;Gasto medio diario por persona;2016M05;142
Total;Dato base;Gasto medio diario por persona;2016M04;130
Total;Dato base;Gasto medio diario por persona;2016M03;131
Total;Dato base;Gasto medio diario por persona;2016M02;129
Total;Dato base;Gasto medio diario por persona;2016M01;122
Total;Dato base;Gasto medio diario por persona;2015M12;116
Total;Dato base;Gasto medio diario por persona;2015M11;130
Total;Dato base;Gasto medio diario por persona;2015M10;120
Total;Dato base;Duración media de los viajes;2026M07;7,23
Total;Dato base;Duración media de los viajes;2026M06;6,60
Total;Dato base;Duración media de los viajes;2026M05;6,19
Total;Dato base;Duración media de los viajes;2026M04;6,82
Total;Dato base;Duración media de los viajes;2026M03;7,14
Total;Dato base;Duración media de los viajes;2026M02;7,20
Total;Dato base;Duración media de los viajes;2026M01;8,62
Total;Dato base;Duración media de los viajes;2025M12;9,02
Total;Dato base;Duración media de los viajes;2025M11;7,42
Total;Dato base;Duración media de los viajes;2025M10;6,86
Total;Dato base;Duración media de los viajes;2025M09;6,78
Total;Dato base;Duración media de los viajes;2025M08;7,33
Total;Dato base;Duración media de los viajes;2025M07;7,08
Total;Dato base;Duración media de los viajes;2025M06;6,57
Total;Dato base;Duración media de los viajes;2025M05;6,22
Total;Dato base;Duración media de los viajes;2025M04;6,77
Total;Dato base;Duración media de los viajes;2025M03;7,33
Total;Dato base;Duración media de los viajes;2025M02;7,31
Total;Dato base;Duración media de los viajes;2025M01;8,55
Total;Dato base;Duración media de los viajes;2024M12;9,05
Total;Dato base;Duración media de los viajes;2024M11;7,62
Total;Dato base;Duración media de los viajes;2024M10;6,95
Total;Dato base;Duración media de los viajes;2024M09;6,73
Total;Dato base;Duración media de los viajes;2024M08;7,46
Total;Dato base;Duración media de los viajes;2024M07;7,29
Total;Dato base;Duración media de los viajes;2024M06;6,75
Total;Dato base;Duración media de los viajes;2024M05;6,16
Total;Dato base;Duración media de los viajes;2024M04;6,59
Total;Dato base;Duración media de los viajes;2024M03;7,56
Total;Dato base;Duración media de los viajes;2024M02;7,76
Total;Dato base;Duración media de los viajes;2024M01;8,68
Total;Dato base;Duración media de los viajes;2023M12;9,12
Total;Dato base;Duración media de los viajes;2023M11;7,43
Total;Dato base;Duración media de los viajes;2023M10;6,79
Total;Dato base;Duración media de los viajes;2023M09;6,78
Total;Dato base;Duración media de los viajes;2023M08;7,73
Total;Dato base;Duración media de los viajes;2023M07;7,18
Total;Dato base;Duración media de los viajes;2023M06;6,64
Total;Dato base;Duración media de los viajes;2023M05;6,26
Total;Dato base;Duración media de los viajes;2023M04;6,73
Total;Dato base;Duración media de los viajes;2023M03;7,46
Total;Dato base;Duración media de los viajes;2023M02;7,57
Total;Dato base;Duración media de los viajes;2023M01;8,48
Total;Dato base;Duración media de los viajes;2022M12;8,69
Total;Dato base;Duración media de los viajes;2022M11;7,46
Total;Dato base;Duración media de los viajes;2022M10;6,91
Total;Dato base;Duración media de los viajes;2022M09;6,91
Total;Dato base;Duración media de los viajes;2022M08;7,84
Total;Dato base;Duración media de los viajes;2022M07;7,73
Total;Dato base;Duración media de los viajes;2022M06;6,92
Total;Dato base;Duración media de los viajes;2022M05;6,53
Total;Dato base;Duración media de los viajes;2022M04;7,30
Total;Dato base;Duración media de los viajes;2022M03;7,99
Total;Dato base;Duración media de los viajes;2022M02;8,67
Total;Dato base;Duración media de los viajes;2022M01;9,80
Total;Dato base;Duración media de los viajes;2021M12;9,51
Total;Dato base;Duración media de los viajes;2021M11;7,87
Total;Dato base;Duración media de los viajes;2021M10;7,79
Total;Dato base;Duración media de los viajes;2021M09;7,80
Total;Dato base;Duración media de los viajes;2021M08;8,43
Total;Dato base;Duración media de los viajes;2021M07;8,22
Total;Dato base;Duración media de los viajes;2021M06;7,43
Total;Dato base;Duración media de los viajes;2021M05;7,28
Total;Dato base;Duración media de los viajes;2021M04;8,11
Total;Dato base;Duración media de los viajes;2021M03;8,48
Total;Dato base;Duración media de los viajes;2021M02;9,60
Total;Dato base;Duración media de los viajes;2021M01;9,86
Total;Dato base;Duración media de los viajes;2020M12;9,77
Total;Dato base;Duración media de los viajes;2020M11;8,48
Total;Dato base;Duración media de los viajes;2020M10;7,97
Total;Dato base;Duración media de los viajes;2020M09;7,92
Total;Dato base;Duración media de los viajes;2020M08;8,59
Total;Dato base;Duración media de los viajes;2020M07;8,03
Total;Dato base;Duración media de los viajes;2020M06;6,01
Total;Dato base;Duración media de los viajes;2020M05;0,00
Total;Dato base;Duración media de los viajes;2020M04;0,00
Total;Dato base;Duración media de los viajes;2020M03;7,08
Total;Dato base;Duración media de los viajes;2020M02;7,13
Total;Dato base;Duración media de los viajes;2020M01;7,97
Total;Dato base;Duración media de los viajes;2019M12;7,80
Total;Dato base;Duración media de los viajes;2019M11;6,74
Total;Dato base;Duración media de los viajes;2019M10;6,81
Total;Dato base;Duración media de los viajes;2019M09;7,13
Total;Dato base;Duración media de los viajes;2019M08;7,88
Total;Dato base;Duración media de los viajes;2019M07;7,55
Total;Dato base;Duración media de los viajes;2019M06;6,71
Total;Dato base;Duración media de los viajes;2019M05;6,27
Total;Dato base;Duración media de los viajes;2019M04;6,40
Total;Dato base;Duración media de los viajes;2019M03;7,09
Total;Dato base;Duración media de los viajes;2019M02;7,19
Total;Dato base;Duración media de los viajes;2019M01;8,05
Total;Dato base;Duración media de los viajes;2018M12;8,42
Total;Dato base;Duración media de los viajes;2018M11;7,01
Total;Dato base;Duración media de los viajes;2018M10;7,08
Total;Dato base;Duración media de los viajes;2018M09;7,29
Total;Dato base;Duración media de los viajes;2018M08;8,09
Total;Dato base;Duración media de los viajes;2018M07;7,70
Total;Dato base;Duración media de los viajes;2018M06;7,26
Total;Dato base;Duración media de los viajes;2018M05;6,76
Total;Dato base;Duración media de los viajes;2018M04;6,77
Total;Dato base;Duración media de los viajes;2018M03;7,49
Total;Dato base;Duración media de los viajes;2018M02;7,63
Total;Dato base;Duración media de los viajes;2018M01;8,37
Total;Dato base;Duración media de los viajes;2017M12;8,99
Total;Dato base;Duración media de los viajes;2017M11;7,65
Total;Dato base;Duración media de los viajes;2017M10;7,47
Total;Dato base;Duración media de los viajes;2017M09;7,48
Total;Dato base;Duración media de los viajes;2017M08;8,65
Total;Dato base;Duración media de los viajes;2017M07;8,11
Total;Dato base;Duración media de los viajes;2017M06;7,46
Total;Dato base;Duración media de los viajes;2017M05;6,84
Total;Dato base;Duración media de los viajes;2017M04;6,90
Total;Dato base;Duración media de los viajes;2017M03;7,39
Total;Dato base;Duración media de los viajes;2017M02;7,93
Total;Dato base;Duración media de los viajes;2017M01;8,45
Total;Dato base;Duración media de los viajes;2016M12;9,15
Total;Dato base;Duración media de los viajes;2016M11;7,43
Total;Dato base;Duración media de los viajes;2016M10;7,55
Total;Dato base;Duración media de los viajes;2016M09;7,86
Total;Dato base;Duración media de los viajes;2016M08;8,76
Total;Dato base;Duración media de los viajes;2016M07;8,20
Total;Dato base;Duración media de los viajes;2016M06;7,60
Total;Dato base;Duración media de los viajes;2016M05;6,86
Total;Dato base;Duración media de los viajes;2016M04;7,11
Total;Dato base;Duración media de los viajes;2016M03;7,62
Total;Dato base;Duración media de los viajes;2016M02;7,81
Total;Dato base;Duración media de los viajes;2016M01;8,70
Total;Dato base;Duración media de los viajes;2015M12;9,25
Total;Dato base;Duración media de los viajes;2015M11;7,95
Total;Dato base;Duración media de los viajes;2015M10;8,12
Total;Tasa de variación anual;Gasto total;2026M07;10,86
Total;Tasa de variación anual;Gasto total;2026M06;4,05
Total;Tasa de variación anual;Gasto total;2026M05;10,85
Total;Tasa de variación anual;Gasto total;2026M04;7,45
Total;Tasa de variación anual;Gasto total;2026M03;5,43
Total;Tasa de variación anual;Gasto total;2026M02;4,59
Total;Tasa de variación anual;Gasto total;2026M01;9,26
Total;Tasa de variación anual;Gasto total;2025M12;5,31
